0		2.093	6.106	35.66	58.92
5		1.336	4.569	31.04	52.841
10		0.832	3.421	26.617	46.851
15		0.551	2.629	22.451	40.893
20		0.462	2.156	18.61	34.953
25		0.532	1.962	15.174	29.114
30		0.729	2.004	12.217	23.517
35		1.016	2.231	9.789	18.323
40		1.36	2.59	7.909	13.682
45		1.726	3.024	6.557	9.716
50		2.083	3.478	5.678	6.5
55		2.402	3.897	5.175	4.055
60		2.66	4.235	4.943	2.352
65		2.839	4.453	4.859	1.309
70		2.927	4.525	4.803	0.811
75		2.92	4.437	4.677	0.718
80		2.82	4.19	4.406	0.88
85		2.635	3.8	3.945	1.157
90		2.38	3.296	3.326	1.434
95		2.073	2.718	2.564	1.628
100		1.736	2.112	1.747	1.695
105		1.391	1.529	0.975	1.635
110		1.062	1.017	0.367	1.482
115		0.767	0.622	0.036	1.301
120		0.525	0.378	0.088	1.171
125		0.348	0.309	0.584	1.172
130		0.241	0.423	1.574	1.376
135		0.207	0.714	3.044	1.827
140		0.239	1.161	4.942	2.542
145		0.329	1.73	7.169	3.498
150		0.46	2.377	9.592	4.639
155		0.617	3.05	12.051	5.878
160		0.779	3.696	14.374	7.109
165		0.929	4.263	16.392	8.22
170		1.05	4.705	17.955	9.104
175		1.128	4.985	18.943	9.672
180		1.154	5.081	19.281	9.868

#       3       5       10      20
