0		1.597	7.707	29.008	52.275	54.07	46.039
5		1.121	6.356	26.089	48.99	51.946	43.614
10		0.71	4.907	22.366	44.217	48.592	40.424
15		0.501	3.772	18.729	38.88	44.406	36.885
20		0.47	2.969	15.346	33.234	39.453	32.903
25		0.582	2.476	12.317	27.526	33.917	28.504
30		0.806	2.268	9.741	22.039	28.089	23.847
35		1.109	2.315	7.701	17.043	22.282	19.128
40		1.456	2.566	6.229	12.752	16.803	14.574
45		1.817	2.968	5.316	9.314	11.939	10.423
50		2.163	3.459	4.906	6.788	7.892	6.867
55		2.466	3.966	4.892	5.134	4.774	4.033
60		2.704	4.427	5.148	4.245	2.611	1.991
65		2.863	4.783	5.528	3.948	1.338	0.732
70		2.931	4.983	5.88	4.027	0.807	0.17
75		2.902	4.995	6.077	4.262	0.826	0.17
80		2.784	4.81	6.027	4.456	1.178	0.557
85		2.582	4.432	5.673	4.452	1.652	1.144
90		2.312	3.886	5.013	4.157	2.067	1.755
95		1.995	3.222	4.102	3.56	2.301	2.245
100		1.65	2.497	3.036	2.721	2.293	2.52
105		1.302	1.778	1.944	1.765	2.057	2.544
110		0.973	1.135	0.984	0.872	1.668	2.336
115		0.684	0.636	0.313	0.243	1.249	1.963
120		0.451	0.334	0.072	0.078	0.952	1.532
125		0.286	0.269	0.373	0.548	0.93	1.162
130		0.196	0.46	1.278	1.767	1.31	0.967
135		0.18	0.904	2.795	3.776	2.177	1.039
140		0.231	1.575	4.872	6.533	3.556	1.432
145		0.34	2.427	7.393	9.905	5.398	2.147
150		0.49	3.395	10.198	13.688	7.593	3.139
155		0.662	4.406	13.093	17.621	9.977	4.315
160		0.839	5.377	15.858	21.402	12.342	5.553
165		0.999	6.228	18.277	24.727	14.474	6.713
170		1.127	6.895	20.164	27.331	16.168	7.657
175		1.21	7.319	21.364	28.99	17.258	8.273
180		1.236	7.457	21.761	29.547	17.632	8.491

#       3       5       7.5     10.0    15.0    20
