#Energy
#       3   		5   		10  		15		    20	        30	
0		1.47		7.6		    37.7		60.2		57.1		47.2
5		1.02		6.08		34.1		55.7		52.3		40.9
10		0.717		4.81		30		    50.9		47.6		35.9
15		0.56		3.79		26.2		45.5		42.6		31.2
20		0.585		3.11		22.4		39.6		37.1		26.7
25		0.742		2.71		18.9		33.5		31.4		22.2
30		1.01		2.57		15.6		27.4		25.6		17.9
35		1.33		2.65		12.7		21.5		20  		13.8
40		1.7		    2.91		10.3		16.1		14.9		10.1
45		2.07		3.3	    	8.43		11.5		10.4		6.85
50		2.42		3.77		6.99		7.77		6.73		4.22
55		2.72		4.24		5.99		4.96		3.91		2.25
60		2.95		4.66		5.34		3.02		1.96		0.916
65		3.1	    	4.98		4.91		1.87		0.808		0.198
70		3.15		5.13		4.61		1.34		0.322		0.011
75		3.1		    5.1	    	4.33		1.25		0.341		0.238
80		2.95		4.88		3.97		1.4	    	0.686		0.739
85		2.73		4.47		3.5	    	1.64		1.18		1.37
90		2.43		3.9		    2.9		    1.83		1.68		1.98
95		2.08		3.22		2.2		    1.87		2.05		2.47
100		1.71		2.48		1.45		1.76		2.24		2.75
105		1.34		1.77		0.771		1.51		2.2200		2.79
110		0.99		1.13		0.252		1.21		2.0400		2.59
115		0.685		0.643		0.012		0.951		1.7400		2.19
120		0.446		0.358		0.15		0.864		1.4400		1.68
125		0.281		0.311		0.741		1.0600		1.2200		1.14
130		0.199		0.519		1.82		1.6400		1.1700		0.663
135		0.197		0.9800		3.3900		2.64		1.3700		0.321
140		0.269		1.6600		5.3900		4.07		1.8500		0.172
145		0.403		2.5200		7.7300		5.86		2.6100		0.234
150		0.581		3.5000		10.3000		7.93		3.5800		0.495
155		0.781		4.5100		12.8000		10.1		4.6900		0.912
160		0.985		5.4800		15.2000		12.2		5.8300		1.41
165		1.17		6.3300		17.3000		14.1		6.8800		1.92
170		1.31		7.0000		19.0000		15.6		7.7300		2.36
175		1.41		7.4200		20.0000		16.6		8.2800		2.65
180		1.44		7.5500		20.4000		16.9		8.4700		2.75
