#Energy
#		10			        15			        20			        30												
20		8.09	1.7798		10.1	2.222		8.43	1.8546		8.01	1.7622
25		6.36	1.3992		9.46	2.0812		7.48	1.6456		6.02	1.3244
30		4.89	1.0758		7.17	1.5774		6.12	1.3464		4.11	0.9042
35		3.92	0.8624		5.53	1.2166		4.64	1.0208		3.3	    0.726
40		2.91	0.6402		4.27	0.9394		3.45	0.759		2.27	0.4994
45		2.41	0.5302		2.97	0.6534		2.32	0.5104		1.58	0.3476
50		1.69	0.3718		1.79	0.3938		1.51	0.3322		1.04	0.2288
55		1.33	0.2926		1.05	0.231		0.9	    0.198		0.52	0.1144
60		1.06	0.2332		0.58	0.1276		0.48	0.1056		0.19	0.0418
65		0.93	0.2046		0.4	    0.088		0.2	    0.044		0.175	0.0385
70		0.88	0.1936		0.3	    0.066		0.073	0.01606		0.016	0.00352
75		0.89	0.1958		0.33	0.0726		0.063	0.01386		0.069	0.01518
80		0.87	0.1914		0.43	0.0946		0.15	0.033		0.14	0.0308
85		0.86	0.1892		0.55	0.121		0.26	0.0572		0.25	0.055
90		0.78	0.1716		0.6	    0.132		0.37	0.0814		0.34	0.0748
95		0.62	0.1364		0.61	0.1342		0.44	0.0968		0.41	0.0902
100		0.44	0.0968		0.57	0.1254		0.48	0.1056		0.47	0.1034
105		0.27	0.0594		0.49	0.1078		0.46	0.1012		0.44	0.0968
110		0.12	0.0264		0.39	0.0858		0.43	0.0946		0.42	0.0924
115		0.058	0.01276		0.35	0.077		0.37	0.0814		0.36	0.0792
120		0.11	0.0242		0.3300	0.0726		0.31	0.0682		0.27	0.0594
125		0.3	    0.066		0.4500	0.099		0.24	0.0528		0.2	    0.044
130		0.56	0.1232		0.6200	0.1364		0.21	0.0462		0.13	0.0286
135		1.02	0.2244		0.9100	0.2002		0.22	0.0484		0.063	0.01386
140		1.54	0.3388		1.2700	0.2794		0.2800	0.0616		0.036	0.00792
145		2.32	0.5104		1.6900	0.3718		0.3700	0.0814		0.04	0.0088
