0		1.361	6.236	22.294	43.963	58.249	53.45
5		0.969	5.105	49.702	40.384	54.953	50.012
10		0.665	3.95	16.572	35.61	50.256	45.531
15		0.565	3.124	13.712	30.704	44.972	40.771
20		0.642	2.63	11.238	25.984	39.243	35.719
25		0.583	2.428	9.188	21.333	33.243	30.427
30		1.162	2.473	7.58	17.174	27.22	25.058
35		1.523	2.705	6.412	13.548	21.435	19.812
40		1.894	3.058	5.647	10.537	16.129	14.904
45		2.246	3.475	5.231	8.188	11.519	10.537
50		2.554	3.899	5.093	6.4775	7.751	6.887
55		2.798	4.28	5.149	5.356	4.888	4.043
60		2.969	4.581	5.313	4.733	2.924	2.041
65		3.065	4.774	5.5	4.478	1.769	0.835
70		3.079	4.83	5.618	4.435	1.269	0.311
75		3.011	4.733	5.589	4.45	1.233	0.312
80		2.866	4.48	5.361	4.387	1.46	0.659
85		2.647	4.073	4.901	4.141	1.761	1.168
90		2.366	3.535	4.217	3.661	1.99	1.681
95		2.04	2.907	3.363	2.966	2.055	2.078
100		1.691	2.239	2.424	2.126	1.927	2.283
105		1.34	1.592	1.511	1.263	1.639	2.276
110		1.012	1.029	0.748	0.529	1.273	2.082
115		0.728	0.603	0.254	0.083	0.946	1.766
120		0.501	0.355	0.123	0.069	0.794	1.426
125		0.34	0.311	0.423	0.597	0.944	1.168
130		0.249	0.478	1.182	1.73	1.498	1.098
135		0.224	0.848	2.392	3.481	2.507	1.28
140		0.259	1.398	4.006	2.803	4.509	1.775
145		0.346	2.091	5.943	8.59	5.917	2.569
150		0.472	2.881	8.091	11.687	8.132	3.614
155		0.623	3.715	10.314	14.898	10.496	4.818
160		0.783	4.527	12.45	17.986	12.816	6.059
165		0.932	5.25	14.334	20.711	14.889	7.205
170		1.055	5.823	15.817	22.854	16.53	8.137
175		1.136	6.143	16.765	24.224	17.583	8.731
180		1.162	6.313	17.079	24.68	17.939	8.939

#       3       5       7.5     10       15     20
