#Energy
#		5			        10			        15			        20			    30	
20		0.63	0.126		5.1	    1.02		9.3	    1.86		7	    1.4		    5	    1
25		0.46	0.092		3.9	    0.78		7.6	    1.52		5.3	    1.06		4.1	    0.82
30		0.5	    0.1		    3	    0.6		    6	    1.2		    4.1	    0.82		3.2	    0.64
35		0.59	0.118		2.3	    0.46		4.5	    0.9		    3	    0.6		    2.4	    0.48
40		0.69	0.138		1.8	    0.36		3.4	    0.68		2.4	    0.48		1.7	    0.34
45		0.84	0.168		1.5	    0.3		    2.6	    0.52		1.6	    0.32		1.2	    0.24
50		1	    0.2		    1.3	    0.26		1.5	    0.3		    1.1	    0.22		0.78	0.156
55		1.1	    0.22		1.1	    0.22		0.9	    0.18		0.61	0.122		0.4	    0.08
60		1.1	    0.22		1.1	    0.22		0.54	0.108		0.29	0.058		0.13	0.026
65		1.3	    0.26		1.1	    0.22		0.42	0.084		0.17	0.034		0.04	0.008
70		1.3	    0.26		1.2	    0.24		0.34	0.068		0.067	0.0134		0.0032	0.00064
75		1.3	    0.26		1.1	    0.22		0.34	0.068		0.064	0.0128		0.05	0.01
80		1.3	    0.26		1	    0.2		    0.52	0.104		0.15	0.03		0.14	0.028
85		1.1	    0.22		0.88    0.176		0.6	    0.12		0.24	0.048		0.25	0.05
90		0.82	0.164		0.78	0.156		0.62	0.124		0.38	0.076		0.35	0.07
95		0.64	0.128		0.59	0.118		0.56	0.112		0.47	0.094		0.43	0.086
100		0.43	0.086		0.4	    0.08		0.48	0.096		0.48	0.096		0.47	0.094
105		0.27	0.054		0.19	0.038		0.4	    0.08		0.46	0.092		0.45	0.09
110		0.15	0.03		0.054	0.0108		0.28	0.056		0.42	0.084		0.39	0.078
115		0.0960	0.0192		0.007	0.0014		0.22	0.044		0.35	0.07		0.32	0.064
120		0.0770	0.0154		0.089	0.0178		0.21	0.042		0.29	0.058		0.24	0.048
125		0.1200	0.024		0.29	0.058		0.27	0.054		0.27	0.054		0.19	0.038
130		0.1800	0.036		0.52	0.104		0.44	0.088		0.26	0.052		0.13	0.026
