#ENERGIES
#       1.5                 5                   10                  18                  20
10		2.23	0.07805		2.36	0.118	    4.32	0.1512		6.12	0.2142		6.29    0.2435	
15		2.4	    0.084		2.34	0.117		4.07	0.14245		5.53	0.19355		5.49	0.2196
20		2.55	0.08925		2.33	0.1165		3.81	0.13335		5	    0.175		4.9	    0.196
25		2.7	    0.0945		2.41	0.1205		3.52    0.112		4.53	0.15855		4.55	0.182
30		2.8	    0.098		2.46	0.123		3.34	0.1169		3.97	0.13895		3.94	0.1576
35		3.01	0.10535		2.54	0.127		3.15	0.11025		3.64	0.1274		3.64	0.1456
40		3.16	0.1106		2.63	0.1315		3.02	0.1057		3.25	0.11375		3.27	0.1308
45		3.32	0.1162		2.67	0.1335		2.96	0.1036		2.98	0.1043		3	    0.12
50		3.47	0.12145		2.75	0.1375		2.88	0.1008		2.72	0.0952		2.76	0.1104
55		3.63	0.12705		2.89	0.1445		2.8	    0.098		2.49	0.08715		2.51	0.1004
60		3.81	0.13335		3.09	0.1545		2.73	0.09555		2.32	0.0812		2.26	0.0904
65		3.98	0.1393		3.26	0.163		2.76	0.0966		2.21	0.07735		2.1	    0.084
70		4.15	0.14525		3.39	0.1695		2.77	0.09695		2.11	0.07385		2.02	0.0808
75		4.39	0.15365		3.54	0.177		2.86	0.1001		2.04	0.0714		1.91	0.0764
80		4.57	0.15995		3.68	0.184		2.9	    0.1015		1.98	0.0693		1.85	0.074
85		4.8	    0.168		3.82	0.191		2.95	0.10325		1.96	0.0686		1.77	0.0708
90		5	    0.175		4	    0.2		    3.04	0.1064		1.96	0.0686		1.77	0.0708
95		5.2	    0.182		4.23	0.2115		3.19	0.11165		2	    0.07		1.77	0.0708
100		5.37	0.18795		4.47	0.2235		3.32	0.1162		2.04	0.0714		1.82	0.0728
105		5.53	0.19355		4.72	0.236		3.55	0.12425		2.14	0.0749		1.86	0.0744
110		5.65	0.19775		4.86	0.243		3.71	0.12985		2.2	    0.077		1.89	0.0756
115		5.79	0.20265		5.16	0.258		3.81	0.13335		2.29	0.08015		1.93	0.0772
120		5.95	0.20825		5.48	0.274		3.91	0.13685		2.41	0.08435		1.98	0.0792
125		6.11	0.21385		5.63	0.2815		4.08	0.1428		2.47	0.08645		2.06	0.0824
