Energy		Static	Exchange	HEE		SCE		SOFEGE
0.85		0.00001	0.00004		0.000501	0.000214	0.000485
1.22		0.00002	0.00009		0.000851	0.00043		0.000897
2.18		0.00009	0.00034		0.00195		0.00123		0.00225
3.4		0.00026	0.00092		0.00367		0.00263		0.00436
4.9		0.00061	0.00201		0.00604		0.00472		0.00723
6.67		0.00119	0.00376		0.00907		0.00752		0.0108
7.65		0.0016	0.00492		0.0108		0.00918		0.0128
8.7		0.0021	0.00627		0.0127		0.011		0.015
13.6		0.00511	0.0136		0.0216		0.0197		0.0247
16.46		0.00729	0.0184		0.0268		0.0244		0.0301
21.26		0.0114	0.0266		0.0347		0.0326		0.0384
30.61		0.0204	0.0419		0.0489		0.0471		0.0527

