Energy		Static		Exchange	HEE	SCE	SOFEGE
0.85		0.00142		0.00687		0.338	0.0176	0.0729
1.22		0.00242		0.0106		0.191	0.0267	0.102
2.18		0.00556		0.0236		0.167	0.0495	0.162
3.4		0.0104		0.0425		0.178	0.0762	0.218
4.9		0.0171		0.0667		0.195	0.104	0.265
6.67		0.0256		0.0947		0.212	0.132	0.302
7.65		0.0305		0.1095		0.221	0.146	0.316
8.7		0.0359		0.125		0.229	0.159	0.329
13.6		0.0605		0.183		0.256	0.205	0.359
16.46		0.0743		0.209		0.268	0.223	0.366
21.26		0.0959		0.243		0.283	0.248	0.37
30.61		0.132		0.284		0.302	0.279	0.367

