Energy	Static	Exchange 	HEE	SCE	SOFEGE
0.14	2.648	2.994		5.775	3.006	3.334
0.53	2.297	2.859		3.212	2.863	3.142
0.85	2.157	2.776		3.015	2.763	3.043
1.22	2.05	2.705		2.901	2.708	2.956
2.18	1.884	2.567		2.723	2.562	2.794
3.4	1.761	2.436		2.57	2.422	2.648
4.9	1.664	2.311		2.429	2.291	2.514
6.67	1.584	2.194		2.295	2.168	2.39
7.65	1.549	2.139		2.231	2.11	2.332
8.7	1.517	2.085		2.17	2.055	2.276
13.6	1.405	1.89		1.945	1.856	2.071
16.46	1.358	1.804		1.845	1.769	1.978
21.26	1.296	1.687		1.713	1.653	1.848
30.61	1.209	1.522		1.53	1.491	1.654

