30      1.041 3.590 6.246
40      1.101 2.368 3.778
50      1.275 1.952 2.364
60      1.606 1.943 1.568
70      1.779 1.988 1.393
80      1.728 1.862 1.242
90      1.359 1.399 0.907
100     0.793 0.754 0.489
110     0.257 0.197 0.162
115     0.126 0.049 0.136
117     0.087 0.029  xxx
120     0.090  xxx  0.213
121      xxx  0.059  xxx
123      xxx  0.096  xxx
125     0.109  xxx   xxx
128     0.135  xxx   xxx
130     0.166 0.384 0.613
133.5   0.329  xxx   xxx
140     0.740 1.520 1.577
150     1.469 2.909 3.095
160     2.310 4.425 4.377
170     2.799 5.136 4.926
180     2.851 5.619 5.882
