#       3       5    7.5    10  15      20   30
20      8.1     18   50     71  116     93   76  
25      6.3     14   39     58   98     86   52 
30      5.7     12   31     46   76     57   36  
35      5.9     12   25     38   57     48   25 
40      6.9     12   21     31   44     27   14
45      8.0     13   18     23   30     18   7.7 
50      11      14   16     18   21     12   3.8  
55      14      16   16     15   13     6.9  1.9
60      15      17   16     13   7.9    4.1  0.99 
65      16      18   17     12   5.3    2.6  0.72 
70      16      18   17     11   4.0    1.9  1.0  
75      15      18   18     11   3.9    1.7  1.4  
80      13      17   17     11   4.0    2.1  1.7 
85      12      16   15     10   4.4    2.6  2.0  
90      9       14   12     8.4  4.4    3.0  2.2  
95      7.4     10   9.1    6.8  4.3    3.4  2.3  
100     5.0     6.4  6.0    4.6  4.4    3.5  2.2
105     3.7     3.9  3.2    2.8  3.6    3.5  2.2 
110     1.7     1.8  0.74   1.0  3.4    3.3  1.8 
115     0.92    0.49 0.16   0.84 2.8    3.1  1.6 
120     0.56    0.69 1.3    1.5  3.2    2.9  1.2 
125     0.98    2.3  3.8    3.6  3.5    2.7  0.96   
130     1.5     5.0  8.9    7.0  4.9    2.7  0.74 
