#Energy - DCS a0^2/sr
#	    5		    10		    15		    20						
0		0.2876		0.7443		1.329		2.071
2		0.2959		0.7539		1.321		2.031
4		0.3192		0.7807		1.31		1.959
6		0.3531		0.8174		1.307		1.9
8		0.3916		0.8569		1.311		1.852
10		0.4305		0.8992		1.323		1.814
12		0.469		0.9459		1.34		1.7585
15		0.5286		1.02		1.376		1.756
20		0.6317		1.152		1.457		1.743
25		0.7316		1.287		1.554		1.761
30		0.8267		1.417		1.657		1.801
35		0.9115		1.535		1.755		1.848
40		0.9842		1.634		1.84		1.892
45		1.0410		1.708		1.902		1.921
50		1.0810		1.752		1.934		1.926
55		1.103		1.764		1.93		1.899
60		1.105		1.741		1.887		1.835
65		1.089		1.684		1.805		1.733
70		1.055		1.595		1.6860		1.5950
75		1.004		1.4780		1.5350		1.4270
80		0.9396		1.3390		1.3600		1.2370
85		0.8642		1.1840		1.1690		1.0350
90		0.7806		1.0200		0.9739		0.8339
95		0.6925		0.8564		0.7847		0.6449
100		0.603		0.6996		0.6119		0.4802
105		0.5152		0.5570		0.4650		0.3501
110		0.4322		0.4346		0.3352		0.2629
115		0.3561		0.3370		0.2778		0.2243
120		0.2889		0.2671		0.2459		0.2368
125		0.2317		0.2261		0.2567		0.2997
130		0.1852		0.2133		0.3077		0.4095
135		0.1492		0.2263		0.3943		0.5593
140		0.1231		0.2612		0.5095		0.7402
145		0.1058		0.3129		0.6446		0.9410
150		0.0959		0.3755		0.7898		1.1500
155		0.0915		0.4426		0.9351		1.3540
160		0.091		0.5080		1.0700		1.5400
165		0.0927		0.5658		1.1860		1.6990
170		0.095		0.6110		1.2750		1.8190
175		0.0969		0.6397		1.3310		1.8950
180		0.0976		0.6496		1.3500		1.9200
