0.10		1.36		-0.04		0.004		0.0008		0.0003		0.0001		2.0736
0.20		2.72		-0.1158		0.0086		0.003		0.0012		0.0005		4.2816
0.30		4.08		-0.2067		0.003		0.008		0.0025		0.0011		5.938
0.40		5.44		-0.3079		-0.0141		0.014		0.0045		0.002		7.3528
0.50		6.80		-0.419		-0.0452		0.023		0.0071		0.0032		8.7857
0.60		8.16		-0.5296		-0.0846		0.034		0.0102		0.0046		9.8934
0.61		8.25		-0.5367		-0.0876		0.0354		0.0104		0.0047		9.9753
0.70		9.52		-0.6395		-0.1356		0.049		0.014		0.0063		10.8966
0.80		10.88		-0.7506		-0.1919		0.067		0.0185		0.0082		11.7824
0.86		11.66		-0.813		-0.2255		0.0797		0.0214		0.0094		12.2022
0.90		12.24		-0.8586		-0.2511		0.089		0.0238		0.0104		12.459
1.00		13.61		-0.9645		-0.3108		0.114		0.0297		0.0129		12.9306
1.10		14.97		-1.067		-0.37		0.142		0.0363		0.0157		13.2091
1.20		16.33		-1.167		-0.4271		0.173		0.0438		0.0186		13.3222
1.21		16.49		-1.1787		-0.4341		0.1773		0.0447		0.019		13.3283
1.30		17.69		-1.262		-0.4821		0.206		0.052		0.0219		13.2882
1.40		19.05		-1.3548		-0.5363		0.241		0.0609		0.0254		13.1863
1.50		20.41		-1.4434		-0.5866		0.277		0.0705		0.0293		12.9751
1.60		21.77		-1.528		-0.6344		0.313		0.0808		0.0334		12.6968
1.70		23.13		-1.61		-0.6799		0.3498		0.0916		0.0377		12.3884
1.80		24.49		-1.689		-0.7225		0.385		0.1029		0.0424		12.0269
1.90		25.85		-1.764		-0.7629		0.42		0.1147		0.0473		11.6557
1.92		26.08		-1.7764		-0.7696		0.426		0.1167		0.0482		11.5939
2.00		27.21		-1.836		-0.8012		0.453		0.1267		0.0523		11.261
2.14		29.16		-1.9346		-0.8524		0.4986		0.1445		0.0599		10.6953
2.17		29.51		-1.9515		-0.8611		0.5063		0.1477		0.0614		10.5939
2.19		29.85		-1.9683		-0.8695		0.5137		0.1509		0.0627		10.4906
2.27		30.86		-2.016		-0.8939		0.535		0.1603		0.0669		10.197
